Month,Passengers,t,t_square,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan-02,284,85,7225,1,0,0,0,0,0,0,0,0,0,0,0
Feb-02,277,86,7396,0,1,0,0,0,0,0,0,0,0,0,0
Mar-02,317,87,7569,0,0,1,0,0,0,0,0,0,0,0,0
Apr-02,313,88,7744,0,0,0,1,0,0,0,0,0,0,0,0
May-02,318,89,7921,0,0,0,0,1,0,0,0,0,0,0,0
Jun-02,374,90,8100,0,0,0,0,0,1,0,0,0,0,0,0
Jul-02,413,91,8281,0,0,0,0,0,0,1,0,0,0,0,0
Aug-02,405,92,8464,0,0,0,0,0,0,0,1,0,0,0,0
Sep-02,355,93,8649,0,0,0,0,0,0,0,0,1,0,0,0
Oct-02,306,94,8836,0,0,0,0,0,0,0,0,0,1,0,0
Nov-02,271,95,9025,0,0,0,0,0,0,0,0,0,0,1,0
Dec-02,306,96,9216,0,0,0,0,0,0,0,0,0,0,0,1
