Month,Sales,t,t_square,Jan,Feb ,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan-49,742,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Feb-49,697,2,4,0,1,0,0,0,0,0,0,0,0,0,0
Mar-49,776,3,9,0,0,1,0,0,0,0,0,0,0,0,0
Apr-49,898,4,16,0,0,0,1,0,0,0,0,0,0,0,0
May-49,1030,5,25,0,0,0,0,1,0,0,0,0,0,0,0
Jun-49,1107,6,36,0,0,0,0,0,1,0,0,0,0,0,0
Jul-49,1165,7,49,0,0,0,0,0,0,1,0,0,0,0,0
Aug-49,1216,8,64,0,0,0,0,0,0,0,1,0,0,0,0
Sep-49,1208,9,81,0,0,0,0,0,0,0,0,1,0,0,0
Oct-49,1131,10,100,0,0,0,0,0,0,0,0,0,1,0,0
Nov-49,971,11,121,0,0,0,0,0,0,0,0,0,0,1,0
Dec-49,783,12,144,0,0,0,0,0,0,0,0,0,0,0,1
Jan-50,741,13,169,1,0,0,0,0,0,0,0,0,0,0,0
Feb-50,700,14,196,0,1,0,0,0,0,0,0,0,0,0,0
Mar-50,774,15,225,0,0,1,0,0,0,0,0,0,0,0,0
Apr-50,932,16,256,0,0,0,1,0,0,0,0,0,0,0,0
May-50,1099,17,289,0,0,0,0,1,0,0,0,0,0,0,0
Jun-50,1223,18,324,0,0,0,0,0,1,0,0,0,0,0,0
Jul-50,1290,19,361,0,0,0,0,0,0,1,0,0,0,0,0
Aug-50,1349,20,400,0,0,0,0,0,0,0,1,0,0,0,0
Sep-50,1341,21,441,0,0,0,0,0,0,0,0,1,0,0,0
Oct-50,1296,22,484,0,0,0,0,0,0,0,0,0,1,0,0
Nov-50,1066,23,529,0,0,0,0,0,0,0,0,0,0,1,0
Dec-50,901,24,576,0,0,0,0,0,0,0,0,0,0,0,1
Jan-51,896,25,625,1,0,0,0,0,0,0,0,0,0,0,0
Feb-51,793,26,676,0,1,0,0,0,0,0,0,0,0,0,0
Mar-51,885,27,729,0,0,1,0,0,0,0,0,0,0,0,0
Apr-51,1055,28,784,0,0,0,1,0,0,0,0,0,0,0,0
May-51,1204,29,841,0,0,0,0,1,0,0,0,0,0,0,0
Jun-51,1326,30,900,0,0,0,0,0,1,0,0,0,0,0,0
Jul-51,1303,31,961,0,0,0,0,0,0,1,0,0,0,0,0
Aug-51,1436,32,1024,0,0,0,0,0,0,0,1,0,0,0,0
Sep-51,1473,33,1089,0,0,0,0,0,0,0,0,1,0,0,0
Oct-51,1453,34,1156,0,0,0,0,0,0,0,0,0,1,0,0
Nov-51,1170,35,1225,0,0,0,0,0,0,0,0,0,0,1,0
Dec-51,1023,36,1296,0,0,0,0,0,0,0,0,0,0,0,1
Jan-52,951,37,1369,1,0,0,0,0,0,0,0,0,0,0,0
Feb-52,861,38,1444,0,1,0,0,0,0,0,0,0,0,0,0
Mar-52,938,39,1521,0,0,1,0,0,0,0,0,0,0,0,0
Apr-52,1109,40,1600,0,0,0,1,0,0,0,0,0,0,0,0
May-52,1274,41,1681,0,0,0,0,1,0,0,0,0,0,0,0
Jun-52,1422,42,1764,0,0,0,0,0,1,0,0,0,0,0,0
Jul-52,1486,43,1849,0,0,0,0,0,0,1,0,0,0,0,0
Aug-52,1555,44,1936,0,0,0,0,0,0,0,1,0,0,0,0
Sep-52,1604,45,2025,0,0,0,0,0,0,0,0,1,0,0,0
Oct-52,1600,46,2116,0,0,0,0,0,0,0,0,0,1,0,0
Nov-52,1403,47,2209,0,0,0,0,0,0,0,0,0,0,1,0
Dec-52,1209,48,2304,0,0,0,0,0,0,0,0,0,0,0,1
Jan-53,1030,49,2401,1,0,0,0,0,0,0,0,0,0,0,0
Feb-53,1032,50,2500,0,1,0,0,0,0,0,0,0,0,0,0
Mar-53,1126,51,2601,0,0,1,0,0,0,0,0,0,0,0,0
Apr-53,1285,52,2704,0,0,0,1,0,0,0,0,0,0,0,0
May-53,1468,53,2809,0,0,0,0,1,0,0,0,0,0,0,0
Jun-53,1637,54,2916,0,0,0,0,0,1,0,0,0,0,0,0
Jul-53,1611,55,3025,0,0,0,0,0,0,1,0,0,0,0,0
Aug-53,1608,56,3136,0,0,0,0,0,0,0,1,0,0,0,0
Sep-53,1528,57,3249,0,0,0,0,0,0,0,0,1,0,0,0
Oct-53,1420,58,3364,0,0,0,0,0,0,0,0,0,1,0,0
Nov-53,1119,59,3481,0,0,0,0,0,0,0,0,0,0,1,0
Dec-53,1013,60,3600,0,0,0,0,0,0,0,0,0,0,0,1
